Id,Prediction,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,PRI_tau_pt,PRI_tau_eta,PRI_lep_pt,PRI_lep_eta,PRI_met,PRI_met_sumet
100010,b,86.24,79.692,27.201,2.338,27.201,81.734,1.75,-1.412,29.718,-0.866,52.016,0.126,51.276,250.178
100014,b,109.412,14.398,17.323,0.472,17.323,62.565,1.774,-0.272,22.552,1.389,40.013,1.856,75.197,198.616
100018,b,85.186,68.827,5.042,2.116,5.042,71.443,1.558,-1.351,27.931,1.175,43.512,2.332,44.698,151.816
100019,b,88.767,115.058,15.337,2.879,15.337,58.211,0.875,-1.395,31.046,1.38,27.165,-1.486,72.981,115.145
100020,b,89.705,41.765,18.437,1.395,18.437,57.157,1.082,-1.178,27.453,1.58,29.704,0.341,67.909,225.139
100052,b,83.924,136.152,40.286,3.111,40.286,67.818,1.884,-0.574,23.515,-1.272,44.302,1.66,41.305,104.743
100053,b,98.947,85.408,1.578,2.598,1.578,89.173,2.074,-1.331,29.005,0.167,60.168,0.918,42.635,146.821
100071,s,70.619,81.224,23.097,1.724,23.097,122.205,0.304,-1.178,93.741,0.675,28.464,1.294,75.369,169.293
100074,b,65.71,56.525,1.118,2.012,1.118,66.151,1.174,-1.407,30.428,1.804,35.723,2.193,36.227,123.357
100085,b,71.692,52.779,2.705,1.985,2.705,50.751,1.533,-1.349,20.039,-0.33,30.712,-1.988,43.206,72.211
100116,b,101.879,67.115,27.599,1.87,27.599,94.356,2.779,-1.34,24.971,-1.934,69.385,-2.063,39.888,145.556
100129,b,87.842,37.796,23.581,1.389,23.581,56.083,1.077,-1.396,27.003,-2.023,29.08,-1.248,70.163,82.299
100137,b,64.479,48.897,3.7,2.098,3.7,54.684,1.535,-1.388,21.569,-0.143,33.115,0.605,35.557,70.504
100138,b,85.463,47.401,1.946,1.406,1.946,69.214,1.041,-1.414,33.919,-1.322,35.295,-2.13,56.185,72.128
