Id,Prediction,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,PRI_tau_pt,PRI_tau_eta,PRI_lep_pt,PRI_lep_eta,PRI_met,PRI_met_sumet,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_all_pt
100002,b,162.172,125.953,35.635,3.148,9.336,197.814,3.776,1.414,32.154,-0.705,121.409,-0.953,54.283,260.414,44.251,2.053,44.251
100030,b,91.316,51.771,33.742,1.309,0.876,112.809,1.718,-1.318,29.267,-1.346,50.292,-2.443,44.156,157.431,33.25,-3.199,33.25
100081,b,65.312,50.047,0.515,2.13,74.884,132.893,1.709,-1.372,21.429,0.266,36.623,0.718,32.276,32.944,74.841,0.616,74.841
100123,b,81.748,46.618,30.565,1.387,1.732,104.505,1.481,-1.237,29.4,-1.513,43.531,-1.972,51.428,82.313,31.574,2.97,31.574
100131,b,85.551,51.971,17.796,1.963,18.889,91.137,1.915,-1.102,20.111,-0.294,38.507,0.831,47.656,129.989,32.519,1.142,32.519
100132,b,69.946,110.636,29.691,2.422,1.368,107.946,0.779,-1.286,43.767,0.854,34.109,-1.369,40.887,120.657,30.071,-0.909,30.071
100162,b,67.535,156.705,81.155,3.274,21.599,142.957,1.207,-0.01,28.895,-1.92,34.879,1.349,56.131,231.987,79.183,1.395,79.183
100172,b,129.255,70.316,35.597,2.073,32.024,140.529,2.644,-0.757,24.383,-2.134,64.459,-1.576,65.352,159.568,51.688,-2.225,51.688
100181,b,74.38,92.036,40.693,1.834,3.935,151.113,0.553,-0.977,69.912,-0.156,38.652,-1.259,66.077,205.555,42.55,-1.366,42.55
100185,b,100.244,22.819,35.492,0.635,0.975,115.69,2.491,-0.872,22.813,0.48,56.838,0.813,44.254,94.633,36.039,-1.23,36.039
100189,b,104.869,48.886,35.141,1.384,6.088,114.02,0.891,-1.358,39.144,1.776,34.888,2.413,93.532,137.766,39.987,0.533,39.987
100218,b,65.031,66.686,42.48,2.268,0.276,111.027,2.271,-1.294,20.894,0.35,47.45,-0.938,40.51,74.819,42.683,-0.167,42.683
100328,s,101.979,114.931,4.647,2.167,54.795,186.994,0.949,-1.411,66.685,-1.764,63.305,-1.856,60.614,196.872,57.005,2.573,57.005
100355,b,88.716,86.763,35.713,2.343,35.091,117.577,0.745,-1.345,45.006,-1.291,33.541,0.141,62.784,272.055,39.03,-2.563,39.03
100360,b,75.635,13.026,79.225,0.474,30.122,109.096,1.802,-0.017,20.191,0.518,36.385,0.841,63.324,236.905,52.52,-0.121,52.52
100382,b,95.245,62.337,34.372,2.059,40.094,89.357,1.192,-0.984,24.083,2.105,28.703,0.146,79.015,281.381,36.571,2.383,36.571
100425,b,84.919,37.369,161.266,0.932,10.744,232.766,1.773,0.029,29.042,2.116,51.482,1.188,111.235,389.622,152.242,0.388,152.242
