Id,Prediction,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltaeta_jet_jet,DER_mass_jet_jet,DER_prodeta_jet_jet,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,DER_lep_eta_centrality,PRI_tau_pt,PRI_tau_eta,PRI_lep_pt,PRI_lep_eta,PRI_met,PRI_met_sumet,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_subleading_pt,PRI_jet_subleading_eta,PRI_jet_all_pt
100056,b,110.686,65.448,49.395,0.482,24.02,7.901,2.893,26.385,138.2,2.106,-1.393,0.0,21.631,-0.767,45.546,-0.107,73.398,185.682,40.581,-3.062,30.442,-2.58,71.023
100209,b,77.518,58.031,63.279,1.127,122.734,-0.229,1.256,27.059,210.291,0.661,-0.62,0.932,60.188,0.172,39.791,-0.148,75.163,351.275,59.283,0.266,51.029,-0.861,110.311
100447,b,131.295,62.487,39.784,2.209,223.241,1.194,1.556,126.204,262.471,2.157,-0.842,0.914,29.859,2.294,64.407,1.886,67.286,138.219,128.401,2.658,39.805,0.449,168.206
100486,b,117.655,38.647,29.36,2.886,185.628,-0.859,0.983,3.625,173.712,2.506,-1.062,0.204,24.925,1.365,62.461,0.713,55.429,153.168,55.657,0.337,30.669,-2.548,86.326
100494,b,90.557,66.33,79.015,1.397,81.084,0.638,2.693,6.417,141.766,1.235,-0.273,0.0,21.491,-0.495,26.544,1.449,82.14,164.798,55.947,-1.76,37.783,-0.363,93.73
100625,b,89.055,101.851,65.984,1.226,108.443,-0.362,3.2,9.666,173.198,0.767,-1.394,0.014,34.268,-1.181,26.29,1.146,88.095,237.718,79.671,-0.729,32.969,0.497,112.64
100708,b,80.333,125.019,91.87,2.321,124.112,2.95,3.077,24.276,140.116,1.52,-0.005,0.0,23.067,1.645,35.062,-1.405,75.557,174.293,45.796,3.234,36.192,0.912,81.988
100862,b,100.515,203.479,82.545,0.42,96.472,-0.02,3.885,64.74,157.169,1.001,-0.245,0.0,30.008,-2.008,30.037,1.858,110.14,271.487,57.029,0.056,40.095,-0.363,97.124
100921,b,78.883,57.257,47.85,0.869,137.65,0.033,1.172,36.193,239.446,0.333,-0.741,0.001,83.753,0.705,27.854,1.606,70.414,304.699,77.761,0.906,50.077,0.036,127.839
101011,b,118.741,32.194,67.279,2.519,222.158,-1.213,0.811,2.128,199.204,1.191,-0.053,0.086,35.414,-2.169,42.18,-1.361,97.904,186.331,68.288,-0.648,53.323,1.87,121.611
101303,b,69.402,59.777,76.57,2.169,111.94,-1.165,1.19,1.844,190.354,0.694,-0.438,0.999,63.353,-0.262,43.997,0.073,60.912,216.111,47.911,-0.978,35.094,1.191,83.005
101411,b,94.131,189.125,95.667,0.395,43.743,8.178,2.991,98.786,338.276,2.256,-1.346,0.0,46.02,-1.259,103.818,0.502,64.173,269.845,121.211,3.064,67.226,2.669,188.437
101440,b,65.695,126.94,76.783,0.944,128.89,9.127,3.064,23.07,200.296,2.074,-0.717,0.0,23.966,-2.408,49.711,0.181,63.13,218.034,90.12,-3.53,36.499,-2.586,126.619
101451,b,57.081,34.364,128.486,1.349,162.479,0.409,1.138,0.895,234.155,2.171,0.128,0.521,21.182,-1.958,45.979,-1.475,94.407,199.631,94.382,-0.255,72.612,-1.605,166.994
101527,b,88.747,100.379,25.412,0.503,22.312,0.607,2.047,39.669,169.415,0.907,-1.314,0.0,55.292,1.298,50.172,2.387,62.104,275.197,33.525,-0.567,30.425,-1.07,63.951
101531,b,94.542,123.469,47.703,2.871,205.13,4.525,2.934,24.777,155.775,1.71,-0.092,0.822,23.015,-1.001,39.362,1.93,64.823,184.433,53.158,1.131,40.239,4.002,93.397
101542,b,74.61,107.31,102.022,2.453,244.218,3.539,2.576,1.635,254.756,3.257,-0.429,0.946,20.622,-0.178,67.157,1.956,65.357,203.814,135.149,1.019,31.828,3.473,166.977
101662,b,116.946,166.288,161.576,0.585,57.993,0.082,3.775,2.256,305.628,6.049,1.414,0.056,20.551,-2.078,124.309,0.087,89.506,374.798,102.081,-0.117,58.687,-0.702,160.768
101731,b,109.494,23.646,31.814,4.211,402.606,-3.996,0.714,10.215,163.754,1.569,-0.394,0.936,26.049,0.533,40.873,-0.119,75.268,307.764,50.02,1.445,46.812,-2.766,96.831
101740,b,167.126,60.814,57.445,2.14,184.661,-0.506,1.596,30.461,200.486,2.166,-1.369,0.02,26.78,0.406,58.008,1.322,126.907,242.672,64.944,0.271,50.754,-1.87,115.698
101916,b,81.027,48.401,114.66,0.675,69.717,1.451,1.158,3.582,208.856,1.104,-0.114,0.891,39.848,-0.568,43.986,-1.366,98.117,251.589,86.423,-0.913,38.6,-1.589,125.022
101931,b,99.292,24.209,63.863,0.899,67.669,4.705,0.716,45.59,152.825,2.521,-0.211,0.0,21.624,-0.631,54.516,-0.483,53.951,221.588,39.677,-2.664,37.008,-1.766,76.686
102112,b,105.962,121.189,104.244,0.44,133.409,1.564,3.377,53.015,205.789,1.65,0.003,0.081,20.249,1.478,33.402,-1.618,103.563,346.852,100.641,-1.489,51.496,-1.05,152.138
102249,b,93.904,115.901,198.8,1.606,202.686,-0.603,2.774,1.882,308.882,1.822,1.402,0.001,29.307,-0.088,53.412,1.979,151.19,278.237,172.581,0.597,53.582,-1.009,226.163
102334,b,92.603,19.645,30.422,2.112,113.358,0.277,0.642,34.316,134.348,1.138,-0.852,0.993,29.016,-1.047,33.006,-1.267,73.41,285.868,37.05,-2.236,35.276,-0.124,72.326
102424,b,58.953,68.984,117.967,0.739,108.374,0.925,1.742,2.685,223.83,2.06,0.109,0.002,25.449,-1.687,52.418,-0.112,71.735,255.268,81.073,-1.4,64.89,-0.661,145.963
102474,b,76.743,36.323,59.708,0.55,138.95,4.854,1.124,87.719,208.689,1.903,-0.148,0.025,22.41,0.619,42.635,1.691,50.316,126.725,86.867,2.495,56.777,1.945,143.644
102554,b,68.476,19.791,307.213,0.995,270.103,-0.205,0.465,80.924,413.004,1.923,0.304,0.509,30.51,-0.605,58.668,-0.202,227.218,516.802,251.864,0.704,71.962,-0.29,323.826
102569,b,94.07,84.406,57.635,1.896,161.444,-0.77,2.462,97.135,175.087,1.697,-0.297,0.561,20.91,2.067,35.494,-0.362,79.317,87.779,76.592,1.307,42.09,-0.589,118.682
102767,b,67.997,70.302,129.189,0.236,113.703,2.287,3.043,18.18,225.998,0.828,-1.413,0.0,37.393,-0.73,30.977,-0.2,136.717,299.692,121.761,-1.635,35.868,-1.399,157.629
102940,s,64.124,57.624,69.495,4.267,717.586,-4.182,2.68,102.118,229.678,0.893,-1.409,0.4,31.179,1.234,27.832,1.436,83.48,113.941,101.636,-2.741,69.031,1.526,170.667
103036,b,90.315,133.554,71.778,0.8,131.904,0.549,2.995,4.033,207.808,2.263,-0.307,0.0,21.503,-0.532,48.653,2.389,67.429,244.406,69.038,-0.442,68.615,-1.242,137.653
103048,s,140.15,93.234,176.51,4.417,777.239,-4.24,1.086,13.838,348.993,0.964,-0.002,0.988,89.146,-0.035,85.923,0.559,79.246,459.433,97.825,-1.41,76.099,3.006,173.924
103049,s,138.06,73.216,285.272,1.326,136.615,-0.425,1.087,0.618,457.526,0.256,0.018,0.416,136.21,1.308,34.831,0.74,192.256,493.426,254.239,-0.544,32.246,0.782,286.486
103114,s,71.0,66.245,54.605,7.019,1266.994,-12.163,3.433,24.294,128.479,1.483,1.414,0.851,20.491,0.558,30.385,-1.019,56.676,170.374,46.95,-3.118,30.653,3.9,77.603
103189,s,394.524,115.609,121.01,5.152,2285.601,-6.622,0.622,262.388,755.126,0.699,-0.442,1.0,218.939,0.558,152.959,-0.061,254.649,555.098,269.987,-2.69,113.241,2.462,383.228
103305,b,76.04,133.722,56.164,1.421,127.404,1.497,3.167,0.426,210.616,1.421,-1.405,0.096,41.448,-2.003,58.901,-0.328,63.122,169.252,70.687,-2.125,39.579,-0.705,110.266
103312,b,37.158,43.739,182.502,2.769,436.364,-0.329,1.764,7.09,302.561,1.758,0.344,0.882,21.349,1.793,37.527,1.75,159.48,337.295,179.157,-0.125,64.527,2.644,243.684
103325,b,57.848,38.486,118.019,1.023,98.383,-0.134,1.3,2.154,202.967,1.973,0.046,0.596,21.754,1.4,42.921,0.725,90.786,243.289,98.194,0.868,40.098,-0.155,138.292
103436,b,54.937,54.243,63.909,0.186,94.273,0.903,1.998,32.71,165.825,1.124,-0.903,0.0,28.772,-2.397,32.35,-1.629,72.101,345.881,63.968,-1.048,40.735,-0.862,104.703
103541,b,107.492,159.744,101.961,3.635,442.788,-2.883,3.364,49.272,239.02,2.389,-1.262,0.35,26.066,1.48,62.273,-1.214,104.513,143.15,101.432,-1.169,49.249,2.465,150.681
103550,s,77.318,73.081,75.964,6.588,1853.075,-10.443,3.079,62.409,211.244,0.877,-1.414,0.807,39.027,0.898,34.238,0.887,77.638,180.716,75.756,-3.933,62.224,2.655,137.98
103578,b,102.657,101.028,116.566,1.683,125.003,-0.667,3.413,5.82,206.676,0.643,1.414,0.504,49.835,1.918,32.046,0.494,103.849,220.539,79.297,0.639,45.498,-1.044,124.795
103639,b,132.213,60.265,172.674,0.739,69.236,0.508,1.614,43.691,208.786,1.877,0.027,0.011,24.992,1.512,46.909,-0.021,158.264,286.384,78.433,-0.433,58.452,-1.173,136.885
103674,b,82.428,68.064,46.177,2.441,217.237,-0.627,1.725,25.448,198.129,0.98,-0.261,0.248,35.577,0.677,34.881,2.371,59.497,245.193,89.035,2.15,38.635,-0.291,127.671
103732,b,86.114,69.914,161.943,3.059,307.622,-1.593,1.965,26.866,233.502,1.575,-0.411,0.049,29.754,-0.653,46.872,-1.791,155.726,323.555,116.783,-0.666,40.092,2.393,156.875
103806,b,80.973,89.864,100.75,2.599,364.456,2.006,3.214,3.534,283.45,2.491,1.414,0.623,22.507,0.415,56.063,-1.028,80.539,318.832,143.956,-0.623,60.925,-3.221,204.88
103809,b,45.738,64.454,196.183,0.487,48.287,4.238,1.978,62.402,208.634,1.482,0.302,0.0,28.477,0.154,42.215,1.23,171.709,473.592,98.414,-2.316,39.528,-1.83,137.942
103850,b,67.405,55.156,68.117,0.198,63.331,0.885,1.683,6.01,169.229,1.082,-0.843,0.96,35.546,-0.903,38.444,-0.966,78.927,242.962,63.739,-1.045,31.5,-0.847,95.239
104031,b,90.576,54.0,70.382,5.081,672.383,-4.792,1.65,1.465,195.004,2.588,-1.108,0.815,22.843,-2.435,59.121,-2.438,66.915,185.973,76.679,1.251,36.36,-3.83,113.04
104245,b,77.955,179.677,115.921,3.175,357.85,-0.895,4.064,12.29,257.172,0.871,1.414,0.937,44.669,-1.127,38.926,1.679,108.488,353.918,138.211,2.863,35.366,-0.313,173.577
104337,b,229.135,198.453,87.541,2.131,222.552,-1.091,3.026,25.32,343.344,1.396,-1.371,0.681,77.764,1.694,108.521,0.869,123.975,324.426,116.815,1.274,40.243,-0.857,157.059
104359,b,84.931,119.115,13.525,6.295,1221.736,-9.832,2.952,22.391,177.45,1.034,-1.41,0.86,35.138,0.863,36.333,-1.5,58.282,186.4,61.059,2.871,44.92,-3.424,105.979
104750,b,117.23,136.817,159.716,1.451,179.641,3.599,2.33,87.745,292.069,3.254,-0.388,0.005,30.264,2.232,98.47,0.363,108.628,418.802,111.045,1.306,52.29,2.757,163.336
104785,b,88.447,54.822,64.327,0.01,108.412,2.234,3.069,1.08,178.329,1.298,-1.412,0.0,23.542,0.736,30.561,0.311,71.4,203.802,90.466,1.49,33.759,1.5,124.226
104799,b,80.938,71.226,22.013,2.248,174.678,-0.177,2.016,28.91,179.335,0.693,-1.298,0.115,41.289,0.903,28.618,-0.611,74.036,214.051,72.307,2.167,37.121,-0.082,109.428
105117,s,182.225,61.45,138.427,3.704,497.87,-2.456,1.932,21.757,236.545,1.631,-1.035,1.0,29.22,1.069,47.668,1.023,174.201,301.369,84.572,2.839,75.085,-0.865,159.657
105137,b,56.359,69.538,141.098,2.28,201.109,-1.15,2.309,22.14,223.163,2.215,-0.112,0.116,20.397,-0.28,45.176,1.285,118.353,243.559,124.107,0.753,33.483,-1.527,157.59
105170,s,70.682,103.134,44.72,5.967,1310.738,-8.71,2.318,89.448,249.164,0.764,-1.267,0.955,62.118,0.801,47.483,0.207,79.832,165.293,91.806,2.547,47.757,-3.42,139.563
105331,b,79.27,100.604,42.942,0.943,51.565,0.004,1.943,15.602,170.54,0.342,-0.438,0.0,76.135,0.522,26.032,2.459,61.756,257.865,34.893,-0.947,33.481,-0.004,68.374
105346,b,82.47,62.857,164.34,0.774,90.65,-0.083,2.686,4.118,237.687,1.866,1.412,0.998,23.377,0.058,43.625,-0.24,143.718,256.031,99.078,-0.646,71.607,0.129,170.685
105451,s,47.23,74.208,74.009,0.128,30.788,2.743,3.223,0.559,138.174,1.658,-1.402,0.0,22.436,-0.174,37.206,1.319,68.538,173.174,40.01,1.721,38.522,1.594,78.533
105453,b,79.917,69.119,98.34,0.408,30.735,5.551,1.681,1.114,176.23,0.662,-0.171,0.0,46.527,-1.785,30.789,-0.234,101.444,241.289,67.032,2.161,31.881,2.569,98.913
105616,s,113.186,103.014,140.979,4.622,1330.016,-5.274,2.971,121.866,360.014,0.793,1.413,0.898,54.699,1.218,43.393,0.501,125.359,210.63,140.491,2.054,121.43,-2.568,261.921
105627,b,104.475,74.609,58.139,4.91,652.937,-4.384,2.665,15.103,208.038,1.965,-1.414,0.663,26.346,-0.307,51.76,0.292,77.15,323.434,98.473,1.173,31.458,-3.736,129.932
105734,b,96.361,53.101,106.931,1.123,94.33,0.591,1.18,2.856,220.932,2.771,-0.14,0.883,26.33,1.757,72.968,0.754,64.315,258.792,83.672,1.513,37.961,0.39,121.633
